category,maker,year,registrations
2W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),2015,0
3W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),2015,0
3W,DSF INDUSTRIES PVT LTD,2015,0
2W,DSK MOTOWHEELS PVT LTD.,2015,1
3W,DSR EV MOBILITY PVT LTD,2015,0
3W,DUCATI INDIA PVT LTD,2015,0
3W,DUCATI MOTOR HOLDING S.P.A,2015,0
3W,DUKE AUTO INDIA,2015,0
3W,DUKEMOTO MOTORS PVT LTD,2015,0
3W,DURABLE FLANGES PVT LTD,2015,0
2W,DURGA FILTERS PVT LTD,2015,0
3W,DYNAVOLT TECHNOLOGY INDIA LTD,2015,0
3W,DYS IMPEX PRIVATE LIMITED,2015,0
3W,DYS IMPEX PVT LTD,2015,1
2W,E ROYCE MOTORS INDIA PVT LTD,2015,0
3W,E ROYCE MOTORS INDIA PVT LTD,2015,0
3W,EAGLE AUTO PEARL PVT,2015,0
2W,E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,2015,0
3W,E-ASHWA AUTOMOTIVE PVT LTD,2015,0
3W,EBUZZ MOBILITY LLP,2015,0
3W,ECO DYNAAMIC EQUIPMENTS,2015,0
2W,ECO FUEL SYSTEMS (I) PVT LTD,2015,0
3W,ECO SMART VEHICLES PVT LTD,2015,0
2W,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),2015,0
3W,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,2015,0
3W,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,2015,0
3W,ECOYAN ELECTRIC MOTORS VEHICLE PVT LTD,2015,0
3W,EDDY CURRENT CONTROLS (I) LTD,2015,0
3W,EDMRC MANNSCHAFT LLP,2015,0
3W,EEVEE ENGINEERING PVT LTD,2015,0
3W,EFEV CHARGING SOLUTION PVT LTD,2015,0
3W,E-GURU AUTO ENERGY,2015,0
3W,EICHER MOTORS LTD,2015,0
LMV,EICHER MOTORS LTD,2015,0
2W,EICHER POLARIS PVT. LTD.,2015,0
LMV,EICHER TRACTORS,2015,4
2W,EKO VEHICLE PRIVATE LIMITED,2015,10
3W,EKO VEHICLE PRIVATE LIMITED,2015,0
3W,ELECTRA INTERNATIONAL,2015,0
2W,ELECTRECA VEHICLES,2015,0
3W,ELECTRECA VEHICLES,2015,0
2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),2015,0
3W,ELECTROTECH TRANSMISSION PVT LTD,2015,0
2W,ELECTROTHERM (I) LIMITED,2015,178
3W,ELECTROTHERM (I) LIMITED,2015,44
LMV,ELECTROTHERM (I) LIMITED,2015,0
2W,ELECTROTHERM (INDIA) LIMITED,2015,0
3W,ELECTROTHERM (INDIA) LIMITED,2015,1
LMV,ELECTROTHERM (INDIA) LIMITED,2015,0
3W,ELEPHANTA INDUSTRIES PVT LTD,2015,0
3W,ELGI EQUIPMENTS LTD           ,2015,0
3W,ELITE AUTO ENGINEERS PVT LTD,2015,0
2W,ELTHOR ENERGY PRIVATE LIMITED,2015,0
2W,EMOBI MANUFACTURY PRIVATE LIMITED,2015,0
3W,E-MOTION AUTOMOTIVE INDUSTRY LLP,2015,0
3W,ENERGY ELECTRIC VEHICLES,2015,0
3W,ENGINIA VEHICLES PVT LTD,2015,0
2W,ENGTIAN ELECTRIC BIKE PVT LTD,2015,0
2W,ENIGMA AUTOMOBILES PVT LTD,2015,0
3W,ENTICE IMPEX PVT LTD,2015,0
3W,EPOWER VEHICLES PVT LTD,2015,0
3W,ERISHA E MOBILITY PVT LTD,2015,0
LMV,ERISHA E MOBILITY PVT LTD,2015,0
3W,ESCORT JCB LTD,2015,0
LMV,ESCORTS CONSTRUCTION EQUIPMENT LTD,2015,0
3W,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),2015,0
LMV,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),2015,0
2W,E-SPRINTO GREEN ENERGY PVT LTD,2015,0
2W,ESSEL ENERGY INFRA PVT LTD,2015,0
3W,ETHIRAJ AUTO UDYOG PVT LTD    ,2015,0
3W,ETRIO AUTOMOBILES PVT LTD,2015,0
LMV,ETRIO AUTOMOBILES PVT LTD,2015,0
3W,EULER MOTORS PVT LTD,2015,0
LMV,EULER MOTORS PVT LTD,2015,0
LMV,EVAGE AUTOMOTIVE PVT LTD,2015,0
3W,EVBHARAT RANGE PRIVATE LIMITED,2015,0
3W,EVCO AUTOMOBILES PVT LTD,2015,0
3W,EVERVE MOTORS PVT LTD,2015,0
3W,EVEX AUTO INDIA PVT LTD,2015,0
3W,EVOLUTION AUTOTECH,2015,0
2W,EVTRIC MOTORS PVT LTD,2015,0
2W,EXERVAL PVT LTD,2015,0
3W,EXIDE INDUSTRIES LTD,2015,0
3W,EXPO MACHINERY LTD,2015,0
3W,EXTRA FAST SOLUTIONS,2015,0
3W,EXTRAMILE GAS TECH,2015,0
3W,EXTREME MOTORS,2015,0
3W,EYUG AUTOMOBILE PVT LTD,2015,0
3W,FEDE INDUSTRIES PVT LTD,2015,0
2W,FIADO INDUSTRIES PVT LTD,2015,0
3W,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,2015,0
3W,FITWEL MOBILITY PVT LTD,2015,0
3W,FIVE ELEMENTS,2015,0
LMV,FORCE MOTORS LIMITED,2015,0
3W,FORD INDIA PVT LTD,2015,0
LMV,FORD INDIA PVT LTD,2015,1
3W,FRN MOTORS PVT LTD,2015,0
2W,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),2015,0
2W,FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),2015,0
2W,FUJIYAMA POWER INFRA PVT. LTD.,2015,0
3W,G & G AUTOMOTIVE,2015,0
LMV,G & G AUTOMOTIVE,2015,0
3W,G WILLIAMS FABRICATIONS LTD,2015,0
3W,G. M. VEHICLE INDUSTRIES,2015,0
3W,G.K E-VEHICLS INDUSTRIES PVT LTD,2015,0
3W,G.K. RICKSHAW,2015,0
LMV,G.K. RICKSHAW,2015,0
3W,GAGAN AUTOMOTIVES,2015,0
LMV,GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),2015,0
3W,GALVANIC AUTO PVT LTD,2015,0
LMV,GANAPATI AGRO INDUSTRIES,2015,1
3W,GARWARE MOTORS LIMITED,2015,0
2W,GAURA ELECTRIC VEHICLES PVT LTD,2015,0
3W,GAURI AUTO INDIA PVT. LTD,2015,0
3W,GAYAM MOTOR WORKS PRIVATE LIMITED,2015,0
3W,GAYATRI ELECTRIC VEHICLES,2015,0
3W,GEMAG CONSTRUCTION MACHINARY,2015,1
3W,GENERAL AGENCIES(KOLKATA) PVT LTD,2015,0
2W,GENERAL MOTORS INDIA PVT LTD,2015,3
3W,GENERAL MOTORS INDIA PVT LTD,2015,0
LMV,GENERAL MOTORS INDIA PVT LTD,2015,1
3W,GEO ALLIANCE,2015,0
3W,GILL AGRICULTURE WORKS,2015,0
3W,GILL AGROTECH,2015,0
3W,GIRNAR SCOOTERS LTD,2015,0
3W,GKON ELECTRIC MOTOR VEHICLES PVT LTD,2015,0
LMV,GKON ELECTRIC MOTOR VEHICLES PVT LTD,2015,0
2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,2015,0
3W,GOBIND INDUSTRIES PVT LTD,2015,0
2W,GODAWARI ELECTRIC MOTORS PVT LTD,2015,0
3W,GODAWARI ELECTRIC MOTORS PVT LTD,2015,0
3W,GODAWARI TECHNO SOLUTIONS PVT LTD,2015,0
LMV,GODREJ AND BOYCE MFG CO LTD,2015,15
3W,GOENKA ELECTRIC MOTOR VEH P L,2015,35
LMV,GOENKA ELECTRIC MOTOR VEH P L,2015,0
3W,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,2015,0
LMV,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,2015,0
2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),2015,0
2W,GOGORO INDIA PVT LTD,2015,0
3W,GOLD HOFER,2015,0
2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),2015,0
3W,GOOD ENERGY INDIA,2015,1
3W,GOOD WILL HI PRECISION,2015,0
3W,GOODENERGY INDIA PVT LTD,2015,0
3W,GOODWILL HI PRECISION WORKS PVT LTD,2015,0
3W,GOPAL AGROTECH,2015,0
3W,GOPAL AUTO MOTORS PVT LTD,2015,0
2W,GOREEN E-MOBILITY PVT LTD,2015,0
3W,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,2015,0
3W,GRD MOTORS,2015,0
LMV,GREAT AUTOMOTIVE LIMITED,2015,0
3W,GREAVES COTTON LTD.,2015,0
2W,GREAVES ELECTRIC MOBILITY PVT LTD,2015,0
3W,GREAVES INDIA PVT LTD,2015,0
3W,GREEN EVOLVE PVT LTD,2015,0
3W,GREEN IMPEX,2015,1
3W,GREEN KAIKETSU AUTOMATIVE IND,2015,0
3W,GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,2015,0
3W,GREEN SHUTTLE TECHNOLOGY PVT LTD,2015,0
3W,GREEN STAR MOTORS,2015,0
LMV,GREEN STAR MOTORS,2015,0
3W,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,2015,0
3W,GREEN TECHNOLOGIES,2015,0
3W,GREEN VALLEY MOTORS,2015,0
LMV,GREEN VALLEY MOTORS,2015,0
3W,GREEN WAY ECO RIDE,2015,0
3W,GREEN WHEELZ (INDIA),2015,0
3W,GREEN WORLD MOTORS PVT LTD,2015,0
3W,GREENETICS INDUSTRIES PVT LTD,2015,0
3W,GREENFIT INDUSTRIES LLP,2015,0
3W,GREENTECH AUTO LLP,2015,0
3W,GREENWHEELS AUTOMOBILE PVT LTD,2015,0
3W,GRG SMART VEHICLE PVT LTD,2015,0
3W,GRINDIA G MOTORS PVT LTD,2015,0
2W,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),2015,0
3W,GUJARAT TRACTOR CORP LTD,2015,0
3W,GURDEEP ENGINEERING WORKS,2015,0
3W,GURJEET AGRO INDUSTRIES,2015,0
3W,GURU JI WHEELS,2015,0
3W,GURUKIRPA INDUSTRIES,2015,0
3W,GURUKIRPA MOTORS,2015,0
3W,GURUKRAPA ENGINEERING WORKS,2015,0
3W,H. D. AUTOMOTIVES,2015,0
2W,H.M.S.I. PVT. LTD.,2015,0
3W,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,2015,0
3W,HAITEK AUTOMOTIVE PVT LTD,2015,0
2W,HAMPI TRACTORS,2015,0
3W,HANUMAN UDYOG,2015,0
3W,HARJAS AGRO INDUSTRIES,2015,0
3W,HARSH TRADING CO,2015,0
3W,HARSHVIE INDUSTRIES PVT LTD,2015,0
2W,HAYASA E-MOBILITY (INDIA) PVT LTD,2015,0
3W,HBSS E MOBILITY PVT LTD,2015,0
3W,H-D MOTOR COMPANY INDIA PVT LTD,2015,0
3W,HERCULES CRANE PVT.LTD.,2015,0
2W,HERO ECO VEHICLES PVT LTD,2015,33
3W,HERO ECO VEHICLES PVT LTD,2015,0
2W,HERO ELECTRIC VEHICLE PVT LTD,2015,254
3W,HERO ELECTRIC VEHICLE PVT LTD,2015,63
LMV,HERO ELECTRIC VEHICLE PVT LTD,2015,0
2W,HERO ELECTRIC VEHICLES PVT. LTD,2015,1
3W,HERO ELECTRIC VEHICLES PVT. LTD,2015,0
2W,HERO HONDA MOTORS  LTD,2015,19
2W,HERO MOTOCORP LTD,2015,92
3W,HERO MOTOCORP LTD,2015,0
LMV,HETTRA HET TRAILER,2015,0
3W,HIM TEKNOFORGE LTD,2015,0
3W,HIND AGRO INDUSTRIES,2015,0
3W,HINDUSTAN MOTOR CORPORATION,2015,0
LMV,HINDUSTAN MOTOR CORPORATION,2015,0
2W,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,2015,0
LMV,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,2015,0
3W,HITECH  MECHANICAL WORKS,2015,0
3W,HITECH ELECTRIC AUTO CO,2015,0
3W,HITECH INDUSTRIES,2015,0
3W,HI-TECH INDUSTRIES,2015,0
3W,HITEK ELECTRIC AUTO CO,2015,0
3W,HITEK ELECTRIC AUTO CO.,2015,0
3W,HMT LIMITED,2015,0
2W,HOMFEEL VEGH AUTOMOBILES PVT LTD,2015,0
2W,HONDA CARS INDIA LTD,2015,134
LMV,HONDA CARS INDIA LTD,2015,2
2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2015,119
LMV,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2015,0
2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),2015,0
2W,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),2015,0
2W,HOOGHLY MOTORS PVT LTD,2015,0
3W,HOOGHLY MOTORS PVT LTD,2015,0
2W,HOP ELECTRIC MOBILITY PVT LTD,2015,0
3W,HOP MOTORS PVT LTD,2015,0
3W,HOTAGE INDIA,2015,0
2W,HOUSTAN INNOVATION LLP,2015,0
LMV,HOUSTAN INNOVATION LLP,2015,0
3W,HOVEL CYLINDER PVT LTD,2015,0
2W,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),2015,0
3W,HUNDA EV PVT LTD,2015,0
3W,HUNDAL INDUSTRIES,2015,0
